Ecm = 13000 GeV
muFcentral = (mH+2mb)/4,   muRcentral = mH/2
      mH       muF           descr            xs   muR_muF_unc       mub_unc        mb_unc   deltaPDF_up deltaPDF_down   delta_as_up delta_as_down
   125.2         0    NLO+NNLLpart     5.516e-01      3.96e-02      2.88e-02      9.36e-03      1.17e-02     -1.56e-02     -1.96e-03      8.04e-03
   125.3         0    NLO+NNLLpart     5.502e-01      3.95e-02      2.87e-02      9.33e-03      1.17e-02     -1.56e-02     -1.95e-03      8.02e-03
   125.4         0    NLO+NNLLpart     5.488e-01      3.93e-02      2.87e-02      9.31e-03      1.17e-02     -1.55e-02     -1.94e-03      8.00e-03
   125.5         0    NLO+NNLLpart     5.473e-01      3.92e-02      2.86e-02      9.28e-03      1.16e-02     -1.55e-02     -1.94e-03      7.98e-03
   125.6         0    NLO+NNLLpart     5.459e-01      3.91e-02      2.85e-02      9.25e-03      1.16e-02     -1.54e-02     -1.93e-03      7.96e-03
   125.7         0    NLO+NNLLpart     5.445e-01      3.89e-02      2.84e-02      9.23e-03      1.16e-02     -1.54e-02     -1.93e-03      7.93e-03
   125.8         0    NLO+NNLLpart     5.431e-01      3.88e-02      2.84e-02      9.20e-03      1.15e-02     -1.54e-02     -1.92e-03      7.91e-03
   125.9         0    NLO+NNLLpart     5.417e-01      3.87e-02      2.83e-02      9.17e-03      1.15e-02     -1.53e-02     -1.92e-03      7.89e-03
     126         0    NLO+NNLLpart     5.404e-01      3.85e-02      2.82e-02      9.15e-03      1.15e-02     -1.53e-02     -1.91e-03      7.87e-03
   126.5         0    NLO+NNLLpart     5.335e-01      3.78e-02      2.78e-02      9.02e-03      1.13e-02     -1.51e-02     -1.88e-03      7.76e-03
     127         0    NLO+NNLLpart     5.267e-01      3.72e-02      2.74e-02      8.89e-03      1.11e-02     -1.49e-02     -1.86e-03      7.66e-03
   127.5         0    NLO+NNLLpart     5.201e-01      3.65e-02      2.71e-02      8.76e-03      1.10e-02     -1.47e-02     -1.83e-03      7.55e-03
     128         0    NLO+NNLLpart     5.135e-01      3.59e-02      2.67e-02      8.63e-03      1.08e-02     -1.45e-02     -1.80e-03      7.45e-03
   128.5         0    NLO+NNLLpart     5.070e-01      3.53e-02      2.63e-02      8.51e-03      1.07e-02     -1.43e-02     -1.78e-03      7.35e-03
     129         0    NLO+NNLLpart     5.007e-01      3.47e-02      2.60e-02      8.39e-03      1.05e-02     -1.42e-02     -1.75e-03      7.25e-03
   129.5         0    NLO+NNLLpart     4.944e-01      3.41e-02      2.56e-02      8.27e-03      1.04e-02     -1.40e-02     -1.73e-03      7.15e-03
     130         0    NLO+NNLLpart     4.883e-01      3.35e-02      2.53e-02      8.15e-03      1.03e-02     -1.38e-02     -1.70e-03      7.05e-03
     135         0    NLO+NNLLpart     4.315e-01      2.82e-02      2.22e-02      7.06e-03      1.08e-02     -1.02e-02     -1.47e-03      6.17e-03
     140         0    NLO+NNLLpart     3.827e-01      2.38e-02      1.95e-02      6.12e-03      9.87e-03     -8.87e-03     -1.28e-03      5.42e-03
     145         0    NLO+NNLLpart     3.405e-01      2.01e-02      1.72e-02      5.35e-03      9.02e-03     -8.03e-03     -1.11e-03      4.77e-03
     150         0    NLO+NNLLpart     3.038e-01      1.71e-02      1.52e-02      4.74e-03      7.98e-03     -7.36e-03     -9.66e-04      4.21e-03
     160         0    NLO+NNLLpart     2.440e-01      1.25e-02      1.20e-02      3.76e-03      5.97e-03     -6.21e-03     -7.35e-04      3.31e-03
     170         0    NLO+NNLLpart     1.979e-01      9.19e-03      9.57e-03      3.01e-03      4.48e-03     -5.27e-03     -5.62e-04      2.63e-03
     180         0    NLO+NNLLpart     1.621e-01      6.86e-03      7.74e-03      2.43e-03      3.67e-03     -4.16e-03     -4.31e-04      2.10e-03
     190         0    NLO+NNLLpart     1.338e-01      5.17e-03      6.33e-03      1.97e-03      2.76e-03     -3.26e-03     -3.32e-04      1.70e-03
     200         0    NLO+NNLLpart     1.114e-01      3.94e-03      5.23e-03      1.60e-03      2.28e-03     -2.76e-03     -2.55e-04      1.38e-03
     210         0    NLO+NNLLpart     9.331e-02      3.03e-03      4.37e-03      1.31e-03      2.41e-03     -2.32e-03     -1.96e-04      1.13e-03
     220         0    NLO+NNLLpart     7.869e-02      2.42e-03      3.67e-03      1.07e-03      2.00e-03     -2.02e-03     -1.50e-04      9.27e-04
     230         0    NLO+NNLLpart     6.675e-02      2.04e-03      3.11e-03      8.77e-04      1.64e-03     -1.69e-03     -1.14e-04      7.66e-04
     240         0    NLO+NNLLpart     5.693e-02      1.73e-03      2.66e-03      7.24e-04      1.44e-03     -1.36e-03     -8.62e-05      6.36e-04
     250         0    NLO+NNLLpart     4.881e-02      1.48e-03      2.28e-03      6.01e-04      1.19e-03     -1.27e-03     -6.41e-05      5.31e-04
     260         0    NLO+NNLLpart     4.204e-02      1.26e-03      1.96e-03      5.01e-04      1.20e-03     -8.94e-04     -4.67e-05      4.45e-04
     270         0    NLO+NNLLpart     3.636e-02      1.10e-03      1.70e-03      4.20e-04      9.31e-04     -9.58e-04     -3.29e-05      3.74e-04
     280         0    NLO+NNLLpart     3.158e-02      9.68e-04      1.48e-03      3.55e-04      8.93e-04     -8.19e-04     -2.20e-05      3.15e-04
     290         0    NLO+NNLLpart     2.754e-02      8.56e-04      1.29e-03      3.02e-04      7.51e-04     -7.44e-04     -1.33e-05      2.67e-04
     300         0    NLO+NNLLpart     2.409e-02      7.58e-04      1.13e-03      2.58e-04      6.60e-04     -7.08e-04     -6.49e-06      2.26e-04
     310         0    NLO+NNLLpart     2.115e-02      6.74e-04      9.94e-04      2.22e-04      5.64e-04     -6.35e-04     -1.09e-06      1.92e-04
     320         0    NLO+NNLLpart     1.863e-02      5.99e-04      8.76e-04      1.92e-04      4.19e-04     -5.84e-04      3.17e-06      1.64e-04
     330         0    NLO+NNLLpart     1.645e-02      5.35e-04      7.74e-04      1.68e-04      3.92e-04     -5.14e-04      6.48e-06      1.40e-04
     340         0    NLO+NNLLpart     1.457e-02      4.78e-04      6.86e-04      1.47e-04      3.47e-04     -4.70e-04      9.04e-06      1.20e-04
     350         0    NLO+NNLLpart     1.294e-02      4.28e-04      6.10e-04      1.30e-04      2.96e-04     -4.25e-04      1.10e-05      1.02e-04
     360         0    NLO+NNLLpart     1.152e-02      3.83e-04      5.43e-04      1.15e-04      2.68e-04     -3.81e-04      1.24e-05      8.77e-05
     370         0    NLO+NNLLpart     1.028e-02      3.45e-04      4.85e-04      1.02e-04      2.35e-04     -3.46e-04      1.35e-05      7.53e-05
     380         0    NLO+NNLLpart     9.200e-03      3.10e-04      4.34e-04      9.08e-05      2.43e-04     -3.07e-04      1.42e-05      6.47e-05
     390         0    NLO+NNLLpart     8.249e-03      2.80e-04      3.89e-04      8.12e-05      2.23e-04     -2.73e-04      1.47e-05      5.56e-05
     400         0    NLO+NNLLpart     7.412e-03      2.53e-04      3.49e-04      7.29e-05      2.19e-04     -2.43e-04      1.49e-05      4.78e-05
     410         0    NLO+NNLLpart     6.673e-03      2.29e-04      3.15e-04      6.55e-05      2.01e-04     -2.17e-04      1.50e-05      4.11e-05
     420         0    NLO+NNLLpart     6.019e-03      2.08e-04      2.84e-04      5.91e-05      1.78e-04     -2.00e-04      1.50e-05      3.53e-05
     430         0    NLO+NNLLpart     5.439e-03      1.89e-04      2.57e-04      5.34e-05      1.47e-04     -1.87e-04      1.48e-05      3.04e-05
     440         0    NLO+NNLLpart     4.924e-03      1.72e-04      2.32e-04      4.83e-05      1.45e-04     -1.75e-04      1.46e-05      2.61e-05
